"SamAccountName","Enabled"
"wiseitusn201","False"
"wiseitusn100","False"
"wiseitusn121","False"
"wiseitusn447","False"
"wiseitusn281","False"
"wiseitusn192","False"
"wiseitusn330","False"
"wiseitusn034","False"
"ems_compras","False"
"wiseitusn169","False"
"wiseitusn414","False"
"wiseitusn166","False"
"wiseitusn474","False"
"wiseitusn064","False"
"wiseitusn069","False"
"TesteSupGas05","False"
"wiseitusn302","False"
"wiseitusn486","False"
"wiseitusn354","False"
"wiseitusn077","False"
"wiseitusn429","False"
"wiseitusn082","False"
"wiseitusn186","False"
"wiseitusn001","False"
"wiseitusn418","False"
"wiseitusn272","False"
"wiseitusn480","False"
"TesteSupCan01","False"
"wiseitusn133","False"
"wiseitusn123","False"
"wiseitusn389","False"
"wiseitusn185","False"
"wiseitusn025","False"
"wiseitusn269","False"
"homologacaosupcanSAP","False"
"wiseitusn208","False"
"wiseitusn359","False"
"wiseitusn286","False"
"wiseitusn113","False"
"wiseitusn215","False"
"wiseitusn182","False"
"wiseitusn351","False"
"wiseitusn016","False"
"wiseitusn044","False"
"wiseitusn362","False"
"wiseitusn266","False"
"wiseitusn118","False"
"wiseitusn006","False"
"wiseitusn287","False"
"supergasbrashomologS","False"
"teste_prime_ger","False"
"wiseitusn455","False"
"wiseitusn430","False"
"wiseitusn312","False"
"homolg_triangulus","False"
"wiseitusn321","False"
"wiseitusn305","False"
"wiseitusn207","False"
"wiseitusn408","False"
"wiseitusn174","False"
"wiseitusn221","False"
"wiseitusn059","False"
"wiseitusn288","False"
"wiseitusn381","False"
"wiseitusn108","False"
"wiseitusn033","False"
"TI_0800Net_Sup_Can","False"
"wiseitusn402","False"
"wiseitusn357","False"
"wiseitusn406","False"
"wiseitusn299","False"
"wiseitusn285","False"
"wiseitusn223","False"
"wiseitusn023","False"
